Ecovillage_Name,Latitude,Longitude,Country,URL_1,URL_2,URL_3,URL_4,URL_5,URL_6,URL_7,URL_8,URL_9,URL_10
O.U.R Ecovillage,48.480165,-123.459587,,,,,,,,,,,
O.U.R Ecovillage,48.424469,-123.341908,,,,,,,,,,,
O.U.R Ecovillage,48.640102,-123.610282,,,,,,,,,,,
Lammas Ecovillage (Tir-y-Gafel),51.894809,-4.906431,,,,,,,,,,,
Lammas Ecovillage (Tir-y-Gafel),51.966315,-4.73314,,,,,,,,,,,
Lammas Ecovillage (Tir-y-Gafel),51.682322,-4.121079,,,,,,,,,,,
Lammas Ecovillage (Tir-y-Gafel),51.934066,-4.623775,,,,,,,,,,,
Friland,56.400436,10.712567,,,,,,,,,,,
Friland,56.286562,10.464254,,,,,,,,,,,
Friland,56.482237,10.014967,,,,,,,,,,,
Friland,56.280995,10.58589,,,,,,,,,,,
Sadhana Forest Haiti,18.572554,-72.072359,,,,,,,,,,,
Sadhana Forest Haiti,18.077235,-71.805601,,,,,,,,,,,
Sadhana Forest Haiti,18.558181,-72.309515,,,,,,,,,,,
Sadhana Forest Haiti,18.04636,-71.762129,,,,,,,,,,,
Hockerton Housing Project,53.277152,-0.79406,,,,,,,,,,,
Hockerton Housing Project,53.268968,-1.589749,,,,,,,,,,,
Hockerton Housing Project,52.979165,-1.115959,,,,,,,,,,,
Hockerton Housing Project,53.097341,-0.929501,,,,,,,,,,,
Den Selvforsynende Landsby (Self-Sufficient Village),55.538228,10.34717,,,,,,,,,,,
Den Selvforsynende Landsby (Self-Sufficient Village),55.215178,10.544956,,,,,,,,,,,
Den Selvforsynende Landsby (Self-Sufficient Village),55.412464,10.333695,,,,,,,,,,,
Den Selvforsynende Landsby (Self-Sufficient Village),55.09841,10.426727,,,,,,,,,,,
Cité Écologique (New Hampshire),44.810547,-71.884611,,,,,,,,,,,
Cité Écologique (New Hampshire),45.058241,-71.279361,,,,,,,,,,,
Cité Écologique (New Hampshire),44.469187,-71.190214,,,,,,,,,,,
Cité Écologique (New Hampshire),44.935101,-71.47749,,,,,,,,,,,
Brithdir Mawr,51.946032,-5.087031,,,,,,,,,,,
Brithdir Mawr,51.95904,-4.71309,,,,,,,,,,,
Brithdir Mawr,51.715371,-5.030036,,,,,,,,,,,
Brithdir Mawr,52.000928,-4.806572,,,,,,,,,,,
Permatopia,55.40829,11.88774,,,,,,,,,,,
Permatopia,55.401684,11.523963,,,,,,,,,,,
Permatopia,55.621772,12.613619,,,,,,,,,,,
Permatopia,55.301696,12.19072,,,,,,,,,,,
