quartet_id,latitude,longitude,d_value_workbook,star_rating_workbook,all_tier1_pass_workbook,kept_despite_failing_tier1,selection_source
90,43.534244,-72.35633,0.187,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
91,31.577358,-111.330663,0.097,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
92,18.891371,-98.572339,0.245,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
93,40.957398,-92.051316,0.042,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
94,42.525879,-72.789554,0.438,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
95,42.232787,-76.34217,0.177,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
96,36.640071,-85.792279,0.415,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
97,40.535893,-77.818059,0.547,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
98,40.12952,-75.637765,0.073,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
99,40.009052,-77.1164,0.606,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
100,42.433632,-71.608996,0.157,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
101,-37.53839,145.474226,0.226,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
102,-28.430035,153.470574,0.238,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
103,-26.729528,152.718551,0.276,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
104,-41.271814,173.006472,0.35,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
105,-33.224186,151.278573,0.195,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
106,-40.848993,172.806874,0.672,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
107,-36.731139,175.730585,0.19,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
108,-26.594966,152.726214,0.178,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
109,-35.391444,138.46338,0.125,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
110,-35.997911,145.111709,0.042,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
111,-13.629295,-72.232709,0.232,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
112,-23.795549,-46.926605,0.37,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
113,-35.052645,-59.51279,0.079,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
114,-37.130076,-72.187405,0.236,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
115,4.937266,-75.73855,0.483,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
116,5.061372,-74.236755,0.336,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
117,13.176568,-16.657114,0.063,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
118,-25.632318,26.967176,0.051,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
119,-8.494753,115.081379,0.146,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
120,-6.365779,39.453167,0.312,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
121,-33.893539,18.958776,0.131,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
122,28.31353,83.878369,0.174,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
123,28.464414,83.668348,0.643,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
124,17.518994,102.955463,0.043,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
125,13.042134,101.309328,0.119,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
126,10.42625,-84.750713,0.309,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
127,38.990948,-9.240627,0.352,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
128,49.481349,14.440453,0.237,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
129,55.030884,14.993181,0.475,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
130,47.640664,10.483004,0.421,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
131,46.651895,3.716473,0.087,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
132,46.058297,12.983499,0.038,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
133,44.661085,8.803369,0.46,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
134,51.552848,11.787221,0.172,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
135,59.557291,13.051997,0.316,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
136,46.964371,1.373627,0.361,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
137,36.633683,-5.2027,0.542,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
138,47.245936,4.586472,0.231,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
139,38.346771,-122.973058,0.384,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
140,48.629878,-123.437678,0.569,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
141,37.094296,-108.170304,0.18,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
142,44.636197,-72.373328,0.4,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
143,20.848968,-87.257291,0.344,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
144,39.009686,-123.367868,0.554,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
145,-26.662654,152.874061,0.178,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
146,-28.414116,153.33673,0.36,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
147,-29.100879,-50.633341,0.494,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
148,-38.972625,-68.13145,0.151,★★★ (3-star),True,False,"Newly generated candidate, promoted after visual inspection"
149,-1.052041,-77.58532,0.429,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
150,13.330654,-16.010259,0.105,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
151,-33.872566,25.028221,0.204,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
152,54.76888,37.996379,0.051,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
153,55.207609,35.770937,0.102,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
154,39.974498,26.277327,0.155,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
155,18.297391,73.722415,0.296,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
156,-42.819808,147.801153,0.238,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
157,-30.47042,152.940369,0.382,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
158,43.933009,0.876668,0.221,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
159,42.669069,-1.345455,0.2,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
